station_key,date,month,day_of_week,public_holiday,school_holiday,daily_total,volume,hour,full_name,road_functional_hierarchy,lga,latitude,longitude,crash_count,crash_severity_sum,crash_injury_sum,crash_fatal_count,crash_wet_count
55306,2022-03-02 00:00:00+00,3,3,False,False,34548,288.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-03-03 00:00:00+00,3,4,False,False,36529,207.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,1
55306,2022-03-04 00:00:00+00,3,5,False,False,39736,369.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-03-06 00:00:00+00,3,7,False,False,28406,797.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,3
55306,2022-03-07 00:00:00+00,3,1,False,False,27340,234.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,1
55306,2022-03-08 00:00:00+00,3,2,False,False,32522,227.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,4,2,0,1
55306,2022-03-09 00:00:00+00,3,3,False,False,37290,177.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-03-10 00:00:00+00,3,4,False,False,40931,288.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,1
55306,2022-03-11 00:00:00+00,3,5,False,False,41778,380.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-03-12 00:00:00+00,3,6,False,False,38826,683.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-03-13 00:00:00+00,3,7,False,False,31073,927.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,3
55306,2022-03-14 00:00:00+00,3,1,False,False,36858,235.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,1
55306,2022-03-15 00:00:00+00,3,2,False,False,39526,195.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,4,2,0,1
55306,2022-03-16 00:00:00+00,3,3,False,False,39623,201.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-03-17 00:00:00+00,3,4,False,False,41165,304.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,1
55306,2022-03-18 00:00:00+00,3,5,False,False,41392,361.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-03-19 00:00:00+00,3,6,False,False,36279,720.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-03-20 00:00:00+00,3,7,False,False,31498,811.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,3
55306,2022-03-22 00:00:00+00,3,2,False,False,40155,171.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,4,2,0,1
55306,2022-03-23 00:00:00+00,3,3,False,False,39081,204.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-03-24 00:00:00+00,3,4,False,False,38728,272.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,1
55306,2022-03-25 00:00:00+00,3,5,False,False,40311,325.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-03-26 00:00:00+00,3,6,False,False,37045,859.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-03-27 00:00:00+00,3,7,False,False,29479,931.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,3
55306,2022-03-28 00:00:00+00,3,1,False,False,35912,224.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,1
55306,2022-03-29 00:00:00+00,3,2,False,False,36736,186.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,4,2,0,1
55306,2022-03-30 00:00:00+00,3,3,False,False,38993,193.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-03-31 00:00:00+00,3,4,False,False,39253,268.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,6,3,0,1
55306,2022-04-01 00:00:00+00,4,5,False,False,39074,329.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,8,5,1,1
55306,2022-04-02 00:00:00+00,4,6,False,False,36257,716.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-04-05 00:00:00+00,4,2,False,False,38955,157.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,0
55306,2022-04-06 00:00:00+00,4,3,False,False,37658,205.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,0
55306,2022-04-07 00:00:00+00,4,4,False,False,36191,266.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,1
55306,2022-04-08 00:00:00+00,4,5,False,False,38078,301.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,8,5,1,1
55306,2022-04-09 00:00:00+00,4,6,False,False,35561,575.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
