station_key,name,full_name,road_functional_hierarchy,lga,wgs84_latitude,wgs84_longitude,vehicle_classifier,device_type
15334030,Galston Road,"Galston Road, East of Calderwood Road",Arterial Road,Hornsby,-33.65556,151.063828,1,Tirtl
15334031,Galston Road,"Galston Road, South of Clarinda Street",Arterial Road,Hornsby,-33.689632,151.097748,1,Tirtl
15370001,New South Head Road,"New South Head Road, East of Mclachlan Avenue",Arterial Road,Sydney,-33.876884,151.228683,1,Tirtl
15648001,Jersey Road,"Jersey Road, North of Old Prospect Road",Local Road,Holroyd,-33.817272,150.962784,1,Tirtl
15648002,The Boulevarde,"The Boulevarde, North of Torrington Road",Local Road,Strathfield,-33.877975,151.093185,1,Tirtl
15828001,Ryde Road,"Ryde Road, South of Lady Game Drive",Arterial Road,Ku-Ring-Gai,-33.772957,151.135391,1,Tirtl
15828005,Pennant Hills Road,"Pennant Hills Road, East of Masons Drive",Primary Road,The Hills,-33.79353,151.018829,1,Tirtl
15934002,Pacific Motorway,"Pacific Motorway, East of Pacific Highway",Motorway,Gosford,-33.455235,151.205383,1,Tirtl
16294002,Pacific Motorway,"Pacific Motorway, East of Pacific Highway",Motorway,Gosford,-33.455536,151.205093,1,Tirtl
16294003,Pacific Motorway,"Pacific Motorway, East of Pacific Highway",Motorway,Gosford,-33.454796,151.205872,1,Tirtl
17126149,South Dowling Street,"South Dowling Street, South of Fitzroy Street",Arterial Road,Sydney,-33.886311,151.217911,1,Tirtl
23058001,M2 Motorway,"M2 Motorway, East of Cropley Drive",Motorway,,-33.770721,150.986466,1,Tirtl
23571159,George Street,"George Street, North of Little Regent Street",Arterial Road,,-33.883911,151.202667,0,Trafficorder Loop Counter
99990003,Hawkesbury Road,"Hawkesbury Road, East of Great Western Highway",Distributor Road,Holroyd,-33.817974,150.981827,1,Tirtl
99990004,Pages Road,"Pages Road, North of Great Western Highway",Distributor Road,Penrith,-33.769588,150.768738,1,Tirtl
99990010,Victoria Road,"Victoria Road, East of Cressy Road",Arterial Road,Ryde,-33.819687,151.117416,1,Tirtl
99990011,Broughton Street,"Broughton Street, North of Moore Street",Distributor Road,Campbelltown,-34.066612,150.81958,1,Tirtl
99990013,Kingsway,"Kingsway, South of Sylvania Road",Arterial Road,Sutherland,-34.033203,151.092529,1,Tirtl
99990014,Pacific Motorway,"Pacific Motorway, East of Pacific Highway",Motorway,Gosford,-33.454525,151.206726,1,Tirtl
